,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,gender
31,1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,female
32,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False,male
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,male
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,male
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,female
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,female
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,female
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,female
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,male
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,female
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,female
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,male
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,male
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,female
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,male
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,male
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,female
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,female
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,male
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,male
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,female
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,male
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,female
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,male
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,male
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,female
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,male
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,male
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,male
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,male
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,female
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,male
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,female
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,male
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,female
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,male
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,male
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,male
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,male
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,male
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,female
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,male
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,male
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,female
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,male
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,female
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,female
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,male
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,female
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,male
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,male
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,male
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,male
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,male
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,male
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,female
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,male
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,female
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,male
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,male
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,male
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,female
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,male
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,female
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,male
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,female
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,female
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,female
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,male
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,male
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,male
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,male
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,female
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,male
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,male
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,female
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,male
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,male
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,male
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,male
128,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,female
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,male
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,male
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,male
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,female
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,female
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,male
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,female
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,male
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,male
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,male
140,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,female
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,female
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,female
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,male
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,male
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,male
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,male
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,female
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,male
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,male
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,female
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,male
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,male
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,male
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,female
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,male
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,male
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,male
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,female
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,male
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,male
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,male
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,male
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,female
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,female
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,male
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,male
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,male
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,male
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,female
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,male
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,male
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,male
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,male
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,female
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,male
180,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,female
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,male
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,male
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,male
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,female
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,male
186,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,female
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,male
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,male
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,female
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,female
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,male
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,female
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,female
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,male
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,male
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,female
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,male
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,male
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,male
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,male
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,male
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,female
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,male
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,male
208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
209,1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,male
210,0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,male
211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True,female
212,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,male
213,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
214,0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False,male
215,1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,female
216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True,female
217,0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False,male
218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,female
219,0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
220,1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,male
221,0,2,male,27.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
222,0,3,male,51.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
223,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
224,1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,male
225,0,3,male,22.0,0,0,9.35,S,Third,man,True,,Southampton,no,True,male
226,1,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,yes,True,male
227,0,3,male,20.5,0,0,7.25,S,Third,man,True,,Southampton,no,True,male
228,0,2,male,18.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,male
229,0,3,female,,3,1,25.4667,S,Third,woman,False,,Southampton,no,False,female
230,1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,female
231,0,3,male,29.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,male
232,0,2,male,59.0,0,0,13.5,S,Second,man,True,,Southampton,no,True,male
233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,female
234,0,2,male,24.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
235,0,3,female,,0,0,7.55,S,Third,woman,False,,Southampton,no,True,female
236,0,2,male,44.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,male
237,1,2,female,8.0,0,2,26.25,S,Second,child,False,,Southampton,yes,False,female
238,0,2,male,19.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
239,0,2,male,33.0,0,0,12.275,S,Second,man,True,,Southampton,no,True,male
240,0,3,female,,1,0,14.4542,C,Third,woman,False,,Cherbourg,no,False,female
241,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,female
242,0,2,male,29.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
243,0,3,male,22.0,0,0,7.125,S,Third,man,True,,Southampton,no,True,male
244,0,3,male,30.0,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,male
245,0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,male
246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True,female
247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,,Southampton,yes,False,female
248,1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,male
249,0,2,male,54.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,male
250,0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True,male
251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,female
252,0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,male
253,0,3,male,30.0,1,0,16.1,S,Third,man,True,,Southampton,no,False,male
254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,,Southampton,no,False,female
255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,,Cherbourg,yes,False,female
256,1,1,female,,0,0,79.2,C,First,woman,False,,Cherbourg,yes,True,female
257,1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,female
258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,,Cherbourg,yes,True,female
259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False,female
260,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,male
261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,,Southampton,yes,False,male
262,0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,male
263,0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,male
264,0,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,no,True,female
265,0,2,male,36.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,male
266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,,Southampton,no,False,male
267,1,3,male,25.0,1,0,7.775,S,Third,man,True,,Southampton,yes,False,male
268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,female
269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,female
270,0,1,male,,0,0,31.0,S,First,man,True,,Southampton,no,True,male
271,1,3,male,25.0,0,0,0.0,S,Third,man,True,,Southampton,yes,True,male
272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,,Southampton,yes,False,female
273,0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,male
274,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,female
276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,,Southampton,no,True,female
277,0,2,male,,0,0,0.0,S,Second,man,True,,Southampton,no,True,male
278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,male
279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,,Southampton,yes,False,female
280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,male
281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,male
282,0,3,male,16.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,male
283,1,3,male,19.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,male
284,0,1,male,,0,0,26.0,S,First,man,True,A,Southampton,no,True,male
285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,,Cherbourg,no,True,male
286,1,3,male,30.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,male
287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
288,1,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,yes,True,male
289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
290,1,1,female,26.0,0,0,78.85,S,First,woman,False,,Southampton,yes,True,female
291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,female
292,0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,male
293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,,Southampton,no,True,female
294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
295,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,male
296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,male
297,0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,female
298,1,1,male,,0,0,30.5,S,First,man,True,C,Southampton,yes,True,male
299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,female
300,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,female
301,1,3,male,,2,0,23.25,Q,Third,man,True,,Queenstown,yes,False,male
302,0,3,male,19.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,male
303,1,2,female,,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,female
304,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,male
305,1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,male
306,1,1,female,,0,0,110.8833,C,First,woman,False,,Cherbourg,yes,True,female
307,1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,female
308,0,2,male,30.0,1,0,24.0,C,Second,man,True,,Cherbourg,no,False,male
309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,female
310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,female
311,1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,female
312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,,Southampton,no,False,female
313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
314,0,2,male,43.0,1,1,26.25,S,Second,man,True,,Southampton,no,False,male
315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,,Southampton,yes,True,female
316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,female
317,0,2,male,54.0,0,0,14.0,S,Second,man,True,,Southampton,no,True,male
318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,female
319,1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,female
320,0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,male
321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,male
322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,,Queenstown,yes,True,female
323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,,Southampton,yes,False,female
324,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,male
325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,female
326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,,Southampton,no,True,male
327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True,female
328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,,Southampton,yes,False,female
329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,female
